Date,Actual Price,Predicted Price
2023-01-01,16625.080078125,17393.69
2023-01-02,16688.470703125,17367.766
2023-01-03,16679.857421875,17345.143
2023-01-04,16863.23828125,17329.047
2023-01-05,16836.736328125,17328.129
2023-01-06,16951.96875,17342.365
2023-01-07,16955.078125,17373.164
2023-01-08,17091.14453125,17416.852
2023-01-09,17196.5546875,17473.271
2023-01-10,17446.29296875,17542.129
2023-01-11,17934.896484375,17628.76
2023-01-12,18869.587890625,17749.682
2023-01-13,19909.57421875,17941.453
2023-01-14,20976.298828125,18245.152
2023-01-15,20880.798828125,18693.38
2023-01-16,21169.6328125,19250.994
2023-01-17,21161.51953125,19870.008
2023-01-18,20688.78125,20488.941
2023-01-19,21086.79296875,21030.787
2023-01-20,22676.552734375,21469.834
2023-01-21,22777.625,21867.445
2023-01-22,22720.416015625,22245.693
2023-01-23,22934.431640625,22599.035
2023-01-24,22636.46875,22923.652
2023-01-25,23117.859375,23194.336
2023-01-26,23032.77734375,23420.496
2023-01-27,23078.728515625,23600.19
2023-01-28,23031.08984375,23735.846
2023-01-29,23774.56640625,23828.828
2023-01-30,22840.138671875,23918.795
2023-01-31,23139.283203125,23975.854
2023-02-01,23723.76953125,24005.904
2023-02-02,23471.87109375,24042.498
2023-02-03,23449.322265625,24085.842
2023-02-04,23331.84765625,24132.56
2023-02-05,22955.666015625,24173.242
2023-02-06,22760.109375,24185.914
2023-02-07,23264.291015625,24157.299
2023-02-08,22939.3984375,24114.754
2023-02-09,21819.0390625,24059.822
2023-02-10,21651.18359375,23946.967
2023-02-11,21870.875,23765.932
2023-02-12,21788.203125,23543.686
2023-02-13,21808.1015625,23306.318
2023-02-14,22220.8046875,23080.262
2023-02-15,24307.841796875,22904.143
2023-02-16,23623.474609375,22889.002
2023-02-17,24565.6015625,23022.414
2023-02-18,24641.27734375,23309.475
2023-02-19,24327.642578125,23712.783
2023-02-20,24829.1484375,24159.781
2023-02-21,24436.353515625,24612.842
2023-02-22,24188.84375,25013.564
2023-02-23,23947.4921875,25316.232
2023-02-24,23198.126953125,25494.373
2023-02-25,23175.375,25517.037
2023-02-26,23561.212890625,25399.885
2023-02-27,23522.87109375,25200.348
2023-02-28,23147.353515625,24966.434
2023-03-01,23646.55078125,24719.127
2023-03-02,23475.466796875,24505.021
2023-03-03,22362.6796875,24339.312
2023-03-04,22353.349609375,24175.51
2023-03-05,22435.513671875,24000.816
2023-03-06,22429.7578125,23823.266
2023-03-07,22219.76953125,23655.06
2023-03-08,21718.080078125,23498.29
2023-03-09,20363.021484375,23336.338
2023-03-10,20187.244140625,23108.963
2023-03-11,20632.41015625,22805.633
2023-03-12,22163.94921875,22469.828
2023-03-13,24197.533203125,22210.613
2023-03-14,24746.07421875,22165.613
2023-03-15,24375.9609375,22384.248
2023-03-16,25052.7890625,22812.771
2023-03-17,27423.9296875,23399.098
2023-03-18,26965.87890625,24175.037
2023-03-19,28038.67578125,25058.912
2023-03-20,27767.236328125,26004.867
2023-03-21,28175.81640625,26919.8
2023-03-22,27307.4375,27744.656
2023-03-23,28333.97265625,28386.049
2023-03-24,27493.28515625,28861.055
2023-03-25,27494.70703125,29142.264
2023-03-26,27994.330078125,29244.402
2023-03-27,27139.888671875,29228.871
2023-03-28,27268.130859375,29102.562
2023-03-29,28348.44140625,28904.576
2023-03-30,28033.5625,28728.258
2023-03-31,28478.484375,28601.14
2023-04-01,28411.03515625,28555.11
2023-04-02,28199.30859375,28586.785
2023-04-03,27790.220703125,28668.277
2023-04-04,28168.08984375,28754.346
2023-04-05,28177.984375,28840.457
2023-04-06,28044.140625,28921.066
2023-04-07,27925.859375,28985.328
2023-04-08,27947.794921875,29023.773
2023-04-09,28333.05078125,29037.371
2023-04-10,29652.98046875,29050.277
2023-04-11,30235.05859375,29138.053
2023-04-12,30139.052734375,29342.256
2023-04-13,30399.06640625,29643.027
2023-04-14,30485.69921875,30011.217
2023-04-15,30318.49609375,30405.941
2023-04-16,30315.35546875,30775.307
2023-04-17,29445.044921875,31083.254
2023-04-18,30397.552734375,31265.951
2023-04-19,28822.6796875,31362.713
2023-04-20,28245.98828125,31319.633
2023-04-21,27276.91015625,31118.68
2023-04-22,27817.5,30746.023
2023-04-23,27591.384765625,30277.555
2023-04-24,27525.33984375,29775.094
2023-04-25,28307.59765625,29294.0
2023-04-26,28422.701171875,28915.938
2023-04-27,29473.787109375,28679.074
2023-04-28,29340.26171875,28636.531
2023-04-29,29248.48828125,28768.193
2023-04-30,29268.806640625,29021.176
2023-05-01,28091.568359375,29337.45
2023-05-02,28680.537109375,29604.174
2023-05-03,29006.30859375,29801.066
2023-05-04,28847.7109375,29938.748
2023-05-05,29534.384765625,30018.633
2023-05-06,28904.623046875,30084.012
2023-05-07,28454.978515625,30119.85
2023-05-08,27694.2734375,30102.066
2023-05-09,27658.775390625,29993.701
2023-05-10,27621.755859375,29801.34
2023-05-11,27000.7890625,29551.56
2023-05-12,26804.990234375,29248.64
2023-05-13,26784.078125,28911.186
2023-05-14,26930.638671875,28569.44
2023-05-15,27192.693359375,28260.932
2023-05-16,27036.650390625,28022.928
2023-05-17,27398.802734375,27861.566
2023-05-18,26832.208984375,27790.52
2023-05-19,26890.12890625,27773.434
2023-05-20,27129.5859375,27788.602
2023-05-21,26753.826171875,27831.096
2023-05-22,26851.27734375,27872.762
2023-05-23,27225.7265625,27905.053
2023-05-24,26334.818359375,27942.65
2023-05-25,26476.20703125,27944.854
2023-05-26,26719.291015625,27909.07
2023-05-27,26868.353515625,27854.44
2023-05-28,28085.646484375,27802.342
2023-05-29,27745.884765625,27823.377
2023-05-30,27702.349609375,27914.58
2023-05-31,27219.658203125,28055.018
2023-06-01,26819.97265625,28194.691
2023-06-02,27249.58984375,28285.7
2023-06-03,27075.12890625,28333.84
2023-06-04,27119.06640625,28338.305
2023-06-05,25760.09765625,28309.83
2023-06-06,27238.783203125,28194.201
2023-06-07,26345.998046875,28065.178
2023-06-08,26508.216796875,27917.14
2023-06-09,26480.375,27768.365
2023-06-10,25851.240234375,27632.17
2023-06-11,25940.16796875,27487.918
2023-06-12,25902.5,27340.338
2023-06-13,25918.728515625,27197.084
2023-06-14,25124.67578125,27068.47
2023-06-15,25576.39453125,26924.156
2023-06-16,26327.462890625,26783.768
2023-06-17,26510.67578125,26697.1
2023-06-18,26336.212890625,26687.93
2023-06-19,26851.029296875,26743.85
2023-06-20,28327.48828125,26869.357
2023-06-21,30027.296875,27118.297
2023-06-22,29912.28125,27561.293
2023-06-23,30695.46875,28163.584
2023-06-24,30548.6953125,28889.475
2023-06-25,30480.26171875,29653.547
2023-06-26,30271.130859375,30368.566
2023-06-27,30688.1640625,30958.799
2023-06-28,30086.24609375,31408.271
2023-06-29,30445.3515625,31683.146
2023-06-30,30477.251953125,31810.13
2023-07-01,30590.078125,31824.312
2023-07-02,30620.76953125,31768.244
2023-07-03,31156.439453125,31678.121
2023-07-04,30777.58203125,31608.123
2023-07-05,30514.166015625,31560.328
2023-07-06,29909.337890625,31521.287
2023-07-07,30342.265625,31455.158
2023-07-08,30292.541015625,31379.203
2023-07-09,30171.234375,31303.617
2023-07-10,30414.470703125,31231.473
2023-07-11,30620.951171875,31180.586
2023-07-12,30391.646484375,31167.723
2023-07-13,31476.048828125,31181.791
2023-07-14,30334.068359375,31268.697
2023-07-15,30295.806640625,31368.76
2023-07-16,30249.1328125,31449.723
2023-07-17,30145.888671875,31494.812
2023-07-18,29856.5625,31496.615
2023-07-19,29913.923828125,31446.082
2023-07-20,29792.015625,31355.98
2023-07-21,29908.744140625,31237.762
2023-07-22,29771.802734375,31114.066
2023-07-23,30084.5390625,30994.537
2023-07-24,29176.916015625,30904.578
2023-07-25,29227.390625,30806.848
2023-07-26,29354.97265625,30696.143
2023-07-27,29210.689453125,30584.232
2023-07-28,29319.24609375,30474.484
2023-07-29,29356.91796875,30379.3
2023-07-30,29275.30859375,30307.621
2023-07-31,29230.111328125,30258.098
2023-08-01,29675.732421875,30226.14
2023-08-02,29151.958984375,30230.406
2023-08-03,29178.6796875,30244.223
2023-08-04,29074.091796875,30255.957
2023-08-05,29042.126953125,30254.791
2023-08-06,29041.85546875,30237.19
2023-08-07,29180.578125,30205.707
2023-08-08,29765.4921875,30172.682
2023-08-09,29561.494140625,30174.559
2023-08-10,29429.591796875,30208.656
2023-08-11,29397.71484375,30259.537
2023-08-12,29415.96484375,30312.992
2023-08-13,29282.9140625,30360.408
2023-08-14,29408.443359375,30389.982
2023-08-15,29170.34765625,30405.271
2023-08-16,28701.779296875,30397.506
2023-08-17,26664.55078125,30344.688
2023-08-18,26049.556640625,30147.53
2023-08-19,26096.205078125,29775.902
2023-08-20,26189.583984375,29272.959
2023-08-21,26124.140625,28711.96
2023-08-22,26031.65625,28159.693
2023-08-23,26431.640625,27665.557
2023-08-24,26162.373046875,27282.52
2023-08-25,26047.66796875,27016.803
2023-08-26,26008.462890625,26855.996
2023-08-27,26089.693359375,26780.145
2023-08-28,26106.150390625,26771.598
2023-08-29,27727.392578125,26810.799
2023-08-30,27297.265625,26956.936
2023-08-31,25931.47265625,27185.666
2023-09-01,25800.724609375,27393.277
2023-09-02,25868.798828125,27523.465
2023-09-03,25969.56640625,27563.268
2023-09-04,25812.416015625,27527.412
2023-09-05,25779.982421875,27430.947
2023-09-06,25753.236328125,27295.326
2023-09-07,26240.1953125,27142.271
2023-09-08,25905.654296875,27014.965
2023-09-09,25895.677734375,26916.02
2023-09-10,25832.2265625,26845.504
2023-09-11,25162.654296875,26797.752
2023-09-12,25833.34375,26735.7
2023-09-13,26228.32421875,26681.938
2023-09-14,26539.673828125,26665.305
2023-09-15,26608.693359375,26707.016
2023-09-16,26568.28125,26806.375
2023-09-17,26534.1875,26945.229
2023-09-18,26754.28125,27099.61
2023-09-19,27211.1171875,27259.29
2023-09-20,27132.0078125,27433.137
2023-09-21,26567.6328125,27609.506
2023-09-22,26579.568359375,27746.812
2023-09-23,26579.390625,27829.25
2023-09-24,26256.826171875,27856.43
2023-09-25,26298.48046875,27821.91
2023-09-26,26217.25,27739.229
2023-09-27,26352.716796875,27623.541
2023-09-28,27021.546875,27500.148
2023-09-29,26911.720703125,27419.738
2023-09-30,26967.916015625,27393.717
2023-10-01,27983.75,27420.89
2023-10-02,27530.78515625,27538.713
2023-10-03,27429.978515625,27716.723
2023-10-04,27799.39453125,27917.281
2023-10-05,27415.912109375,28128.102
2023-10-06,27946.59765625,28312.037
2023-10-07,27968.83984375,28476.455
2023-10-08,27935.08984375,28620.695
2023-10-09,27583.677734375,28739.984
2023-10-10,27391.01953125,28813.941
2023-10-11,26873.3203125,28829.996
2023-10-12,26756.798828125,28767.852
2023-10-13,26862.375,28632.271
2023-10-14,26861.70703125,28451.615
2023-10-15,27159.65234375,28255.57
2023-10-16,28519.466796875,28084.193
2023-10-17,28415.748046875,28024.607
2023-10-18,28328.341796875,28089.299
2023-10-19,28719.806640625,28252.865
2023-10-20,29682.94921875,28496.465
2023-10-21,29918.412109375,28831.9
2023-10-22,29993.896484375,29240.604
2023-10-23,33086.234375,29683.791
2023-10-24,33901.52734375,30274.602
2023-10-25,34502.8203125,31041.844
2023-10-26,34156.6484375,31956.049
2023-10-27,33909.80078125,32907.52
2023-10-28,34089.57421875,33777.445
2023-10-29,34538.48046875,34494.344
2023-10-30,34502.36328125,35044.05
2023-10-31,34667.78125,35421.953
2023-11-01,35437.25390625,35650.188
2023-11-02,34938.2421875,35797.656
2023-11-03,34732.32421875,35872.168
2023-11-04,35082.1953125,35878.37
2023-11-05,35049.35546875,35851.105
2023-11-06,35037.37109375,35810.438
2023-11-07,35443.5625,35769.816
2023-11-08,35655.27734375,35759.867
2023-11-09,36693.125,35799.035
2023-11-10,37313.96875,35940.344
2023-11-11,37138.05078125,36210.445
2023-11-12,37054.51953125,36570.086
2023-11-13,36502.35546875,36961.805
2023-11-14,35537.640625,37303.2
2023-11-15,37880.58203125,37499.73
2023-11-16,36154.76953125,37664.723
2023-11-17,36596.68359375,37739.207
2023-11-18,36585.703125,37745.12
2023-11-19,37386.546875,37702.586
2023-11-20,37476.95703125,37676.793
2023-11-21,35813.8125,37695.375
2023-11-22,37432.33984375,37667.492
2023-11-23,37289.62109375,37661.53
2023-11-24,37720.28125,37687.715
2023-11-25,37796.79296875,37767.836
2023-11-26,37479.12109375,37898.773
2023-11-27,37254.16796875,38043.977
2023-11-28,37831.0859375,38165.81
2023-11-29,37858.4921875,38279.637
2023-11-30,37712.74609375,38386.844
2023-12-01,38688.75,38475.664
2023-12-02,39476.33203125,38595.598
2023-12-03,39978.390625,38795.414
2023-12-04,41980.09765625,39094.49
2023-12-05,44080.6484375,39577.53
2023-12-06,43746.4453125,40331.367
2023-12-07,43292.6640625,41267.59
2023-12-08,44166.6015625,42230.285
2023-12-09,43725.984375,43144.68
2023-12-10,43779.69921875,43902.99
2023-12-11,41243.83203125,44453.28
2023-12-12,41450.22265625,44630.6
2023-12-13,42890.7421875,44463.215
2023-12-14,43023.97265625,44129.06
2023-12-15,41929.7578125,43755.28
2023-12-16,42240.1171875,43359.418
2023-12-17,41364.6640625,43000.06
2023-12-18,42623.5390625,42661.23
2023-12-19,42270.52734375,42430.26
2023-12-20,43652.25,42308.57
2023-12-21,43869.15234375,42366.426
2023-12-22,43997.90234375,42601.176
2023-12-23,43739.54296875,42970.625
2023-12-24,43016.1171875,43392.785
2023-12-25,43613.140625,43756.168
2023-12-26,42520.40234375,44045.5
2023-12-27,43442.85546875,44184.453
2023-12-28,42627.85546875,44226.723
2023-12-29,42099.40234375,44158.207
2023-12-30,42156.90234375,43973.387
2023-12-31,42265.1875,43710.547
